;HeiligenLexikonID;WikidataID;SaintName;ShouldMatch
0;d3e104250Heiligenlexikon-1858;Q324548;Beatus;1
1;d3e147639Heiligenlexikon-1858;Q3483351;Cedonius;1
2;d3e149321Heiligenlexikon-1858;Q590391;Cerbonius;1
3;d3e337047Heiligenlexikon-1858;Q337537;Gregorius Thaumaturgus;1
4;d5e154693Heiligenlexikon-1858;Q3650657;Pambo;1
5;d3e335406Heiligenlexikon-1858;Q191734;Gregorius Nyssenus;1
6;d3e55486Heiligenlexikon-1858;Q569475;Ansegisus;1
7;d5e407493Heiligenlexikon-1858;Q3816961;Zoilus;1
8;d3e169528Heiligenlexikon-1858;Q2180834;Conon;1
9;d3e5793Heiligenlexikon-1858;Q348198;Adalardus;1
10;d3e182347Heiligenlexikon-1858;Q5200390;Cyprianus;1
11;d3e359033Heiligenlexikon-1858;Q113356787;Hassus;1
12;d5e71770Heiligenlexikon-1858;Q1911506;Maurilio;1
13;d5e55949Heiligenlexikon-1858;Q3947636;Marolus;1
14;d3e1911Heiligenlexikon-1858;Q2485199;Ablebertus;1
15;d3e389106Heiligenlexikon-1858;Q653804;Hillidius;1
16;d3e216329Heiligenlexikon-1858;Q116024960;Dulcardus;1
17;d3e576691Heiligenlexikon-1858;Q132793;Lucius;1
18;d5e95281Heiligenlexikon-1858;Q3463994;Merri;1
19;d3e533287Heiligenlexikon-1858;Q7401645;Laetitia;1
20;d3e147376Heiligenlexikon-1858;Q742311;Ceadda;1
21;d5e374925Heiligenlexikon-1858;Q935870;Victor;1
22;d5e200907Heiligenlexikon-1858;Q1144235;Piatus;1
23;d3e96695Heiligenlexikon-1858;Q2293531;Barsanuphius;1
24;d5e16746Heiligenlexikon-1858;Q1737567;Mamilianus;1
25;d5e285874Heiligenlexikon-1858;Q860649;Serapion;1
26;d5e404275Heiligenlexikon-1858;Q259631;Zatiana;1
27;d5e311870Heiligenlexikon-1858;Q3065847;Stephanus;1
28;d5e407100Heiligenlexikon-1858;Q227105;Zoë;1
29;d5e362408Heiligenlexikon-1858;Q192151;Valentinus;1
30;d5e137168Heiligenlexikon-1858;Q2039864;Nivardus;1
31;d5e405381Heiligenlexikon-1858;Q189776;Zeno;1
32;d5e362390Heiligenlexikon-1858;Q192151;Valentinus;1
33;d5e357559Heiligenlexikon-1858;Q125631;Urbanus I;1
34;d5e229928Heiligenlexikon-1858;Q688884;Quirinus;1
35;d3e180512Heiligenlexikon-1858;Q78718;Cunibertus;1
36;d5e334223Heiligenlexikon-1858;Q1260525;Theodotus;1
37;d3e214107Heiligenlexikon-1858;Q242274;Dorothea;1
38;d5e142296Heiligenlexikon-1858;Q1396397;Oda;1
39;d3e521434Heiligenlexikon-1858;Q4219305;Kennanus;1
40;d3e259503Heiligenlexikon-1858;Q2234678;Faro;1
41;d5e154171Heiligenlexikon-1858;Q715209;Palladius;1
42;d3e360988Heiligenlexikon-1858;Q170164;Helda;1
43;d3e280034Heiligenlexikon-1858;Q616072;Florentius;1
44;d3e16903Heiligenlexikon-1858;Q37945440;Agapitus;1
45;d3e230129Heiligenlexikon-1858;Q260816;Emygdius;1
46;d3e312941Heiligenlexikon-1858;Q48438;Georgius;1
47;d3e188047Heiligenlexikon-1858;Q3012509;Dalmatius;1
48;d5e136694Heiligenlexikon-1858;Q1269112;Ninianus;1
49;d5e322531Heiligenlexikon-1858;Q2715632;Telmo;1
50;d5e176215Heiligenlexikon-1858;Q3898934;Peregrinus;1
51;d3e259849Heiligenlexikon-1858;Q3740310;Fausta;1
52;d3e107779Heiligenlexikon-1858;Q44265;Benedictus;1
53;d5e407020Heiligenlexikon-1858;Q744884;Zita;1
54;d3e356951Heiligenlexikon-1858;Q2074427;Hadelinus;1
55;d5e71958Heiligenlexikon-1858;Q1833637;Maurilius;1
56;d5e356171Heiligenlexikon-1858;Q9366457;Ulpianus;1
57;d3e73195Heiligenlexikon-1858;Q640837;Aredius;1
58;d3e309640Heiligenlexikon-1858;Q983066;Geminianus;1
59;d3e407110Heiligenlexikon-1858;Q259551;Iduberga;1
60;d3e285165Heiligenlexikon-1858;Q44934;Fortunatus;1
61;d5e395610Heiligenlexikon-1858;Q714931;Wilhelmus;1
62;d3e264178Heiligenlexikon-1858;Q257960;Felicitas;1
63;d3e217292Heiligenlexikon-1858;Q355121;Dysmas;1
64;d3e564090Heiligenlexikon-1858;Q1978722;Liphardus;1
65;d5e176662Heiligenlexikon-1858;Q1376948;Perfectus;1
66;d3e295109Heiligenlexikon-1858;Q1314431;Frideswida;1
67;d3e93237Heiligenlexikon-1858;Q24937693;Baldus;1
68;d5e237154Heiligenlexikon-1858;Q121288285;Regnifridus;1
69;d3e255450Heiligenlexikon-1858;Q709251;Evodius;1
70;d3e457932Heiligenlexikon-1858;Q328804;Johannes;1
71;d5e209114Heiligenlexikon-1858;Q92598728;Porcaria;1
72;d5e395211Heiligenlexikon-1858;Q499836;Wilehadus;1
73;d3e169868Heiligenlexikon-1858;Q705868;Conradus;1
74;d3e30211Heiligenlexikon-1858;Q80028;Alexander Miles;1
75;d3e568342Heiligenlexikon-1858;Q1872819;Lubentius;1
76;d3e164680Heiligenlexikon-1858;Q4228039;Colmanus;1
77;d3e157478Heiligenlexikon-1858;Q3667518;Clara de Rimini;1
78;d5e111153Heiligenlexikon-1858;Q4301754;Moninna;1
79;d5e237798Heiligenlexikon-1858;Q1934334;Relindis;1
80;d5e150075Heiligenlexikon-1858;Q1273281;Oswaldus;1
81;d5e243378Heiligenlexikon-1858;Q445183;Richtrudis;1
82;d5e161468Heiligenlexikon-1858;Q770633;Paternus;1
83;d5e86261Heiligenlexikon-1858;Q2565483;Meen;1
84;d3e252469Heiligenlexikon-1858;Q162972;Eutychianus;1
85;d5e21632Heiligenlexikon-1858;Q31966;Marc;1
86;d3e83038Heiligenlexikon-1858;Q78161168;Attala;1
87;d3e33902Heiligenlexikon-1858;Q348145;Algisus;1
88;d3e19664Heiligenlexikon-1858;Q394401;Agnellus;1
89;d3e266056Heiligenlexikon-1858;Q1357293;Felix;1
90;d5e184036Heiligenlexikon-1858;Q3387485;Petrus;1
91;d3e308800Heiligenlexikon-1858;Q162135;Gelasius I;1
92;d3e195398Heiligenlexikon-1858;Q5264220;Desideratus;1
93;d5e366552Heiligenlexikon-1858;Q3554214;Vaury;1
94;d5e387999Heiligenlexikon-1858;Q3030296;Viventiolus;1
95;d3e319906Heiligenlexikon-1858;Q657030;Germerius;1
96;d3e349806Heiligenlexikon-1858;Q740017;Guislein;1
97;d3e34514Heiligenlexikon-1858;Q4530046;Almedha;1
98;d3e564889Heiligenlexikon-1858;Q720016;Livinus;1
99;d5e340721Heiligenlexikon-1858;Q116767099;Thomais;1
100;d5e236447Heiligenlexikon-1858;Q443847;Regina;1
101;d5e26716Heiligenlexikon-1858;Q2073318;Marciana;1
102;d5e343505Heiligenlexikon-1858;Q43669;Thomas;1
103;d5e382762Heiligenlexikon-1858;Q318974;Vincentius;1
104;d5e277125Heiligenlexikon-1858;Q183332;Sebastianus;1
105;d5e381272Heiligenlexikon-1858;Q318974;Vincentius;1
106;d3e480834Heiligenlexikon-1858;Q190089;Johannes Duns Scotus;1
107;d3e563191Heiligenlexikon-1858;Q47144;Linus;1
108;d5e12222Heiligenlexikon-1858;Q3843348;Magnus;1
109;d5e177466Heiligenlexikon-1858;Q2784633;Perpetuus;1
110;d3e80366Heiligenlexikon-1858;Q737911;Aspren;1
111;d5e222101Heiligenlexikon-1858;Q706213;Pudens;1
112;d3e56249Heiligenlexikon-1858;Q2057464;Anstrudis;1
113;d3e231945Heiligenlexikon-1858;Q3008097;Eparchius;1
114;d5e229844Heiligenlexikon-1858;Q776193;Quirinus;1
115;d5e332172Heiligenlexikon-1858;Q37599;Theodorus;1
116;d3e124471Heiligenlexikon-1858;Q849117;Braulio;1
117;d3e34583Heiligenlexikon-1858;Q2839126;Almirus;1
118;d3e235930Heiligenlexikon-1858;Q2002608;Ermenilda;1
119;d5e12181Heiligenlexikon-1858;Q3843348;Magnus;1
120;d3e282639Heiligenlexikon-1858;Q5864018;Formerius;1
121;d5e317194Heiligenlexikon-1858;Q160935;Symmachus;1
122;d5e267758Heiligenlexikon-1858;Q15982413;Sanctinus;1
123;d3e234631Heiligenlexikon-1858;Q3590934;Erembertus;1
124;d5e362488Heiligenlexikon-1858;Q192151;Valentinus;1
125;d3e379998Heiligenlexikon-1858;Q451914;Hieronymus Aemilianus;1
126;d3e509360Heiligenlexikon-1858;Q185117;Justinus;1
127;d3e177841Heiligenlexikon-1858;Q583862;Crispina;1
128;d5e243868Heiligenlexikon-1858;Q463631;Rineldis;1
129;d3e27041Heiligenlexikon-1858;Q2722964;Albinus;1
130;d5e158272Heiligenlexikon-1858;Q1044816;Papylus;1
131;d5e257653Heiligenlexikon-1858;Q3452770;Rufus;1
132;d3e58205Heiligenlexikon-1858;Q559936;Antipas;1
133;d3e37566Heiligenlexikon-1858;Q2840668;Alypius;1
134;d3e47880Heiligenlexikon-1858;Q129674;Andreas Bobola;1
135;d3e438005Heiligenlexikon-1858;Q315312;Januarius;1
136;d3e150128Heiligenlexikon-1858;Q742311;Chad;1
137;d5e386739Heiligenlexikon-1858;Q18921055;Vitalis;1
138;d5e16785Heiligenlexikon-1858;Q1737567;Mamilianus;1
139;d3e498975Heiligenlexikon-1858;Q241423;Juliana;1
140;d3e179726Heiligenlexikon-1858;Q113360936;Cuanna;1
141;d3e235604Heiligenlexikon-1858;Q1919604;Ermelindis;1
142;d5e151148Heiligenlexikon-1858;Q3887270;Otteranus;1
143;d5e250240Heiligenlexikon-1858;Q3440790;Romanus;1
144;d3e434297Heiligenlexikon-1858;Q390440;Jacut;1
145;d3e84781Heiligenlexikon-1858;Q758962;Audomarus;1
146;d3e91834Heiligenlexikon-1858;Q2878201;Bacchus;1
147;d3e192971Heiligenlexikon-1858;Q3021418;Deicolus;1
148;d3e413935Heiligenlexikon-1858;Q134694;Innocentius I;1
149;d5e12201Heiligenlexikon-1858;Q3843348;Magnus;1
150;d3e410591Heiligenlexikon-1858;Q8054024;Imarius;1
151;d3e504702Heiligenlexikon-1858;Q3189786;Julitta;1
152;d3e556731Heiligenlexikon-1858;Q14852429;Lewinna;1
153;d3e482805Heiligenlexikon-1858;Q328804;Johannes Mabillon;1
154;d3e384410Heiligenlexikon-1858;Q468685;Hilarion;1
155;d3e247114Heiligenlexikon-1858;Q160514;Eusebius;1
156;d3e403132Heiligenlexikon-1858;Q80604;Hyginus;1
157;d3e47681Heiligenlexikon-1858;Q2848882;Andreas de Comitibus;1
158;d3e384154Heiligenlexikon-1858;Q468685;Hilarion;1
159;d3e525637Heiligenlexikon-1858;Q233012;Kinga;1
160;d5e232784Heiligenlexikon-1858;Q1383532;Rainerius;1
161;d3e486Heiligenlexikon-1858;Q305843;Abbanus;1
162;d3e555195Heiligenlexikon-1858;Q436931;Leucius;1
163;d3e267166Heiligenlexikon-1858;Q982691;Felix de Cantalicio;1
164;d3e560644Heiligenlexikon-1858;Q2061241;Licerius;1
165;d3e163915Heiligenlexikon-1858;Q5141647;Cointa;1
166;d3e326838Heiligenlexikon-1858;Q5575577;Gobnata;1
167;d3e233646Heiligenlexikon-1858;Q3730957;Equitius;1
168;d5e123471Heiligenlexikon-1858;Q947675;Narcissus;1
169;d3e318132Heiligenlexikon-1858;Q116497686;Germana;1
170;d3e440016Heiligenlexikon-1858;Q4195289;Jason;1
171;d3e254068Heiligenlexikon-1858;Q94255370;Evantius;1
172;d3e72951Heiligenlexikon-1858;Q3413809;Arduinus;1
173;d3e250593Heiligenlexikon-1858;Q940177;Euthymius Magnus;1
174;d3e117177Heiligenlexikon-1858;Q2697024;Bertulphus;1
175;d5e261655Heiligenlexikon-1858;Q316440;Sabbas;1
176;d5e208272Heiligenlexikon-1858;Q436439;Pontianus;1
177;d3e271409Heiligenlexikon-1858;Q3463781;Fergeolus;1
